48.0,161.0,7.5
48.0,161.0,13.5
48.0,161.0,5.5
48.0,161.0,6.5
48.0,161.0,4.0
48.0,161.0,6.0
48.0,161.0,6.0
48.0,161.0,4.5
48.0,161.0,5.5
48.0,161.0,5.5
48.0,161.0,6.0
48.0,161.0,6.0
48.0,161.0,7.0
48.0,161.0,5.5
48.0,161.0,6.5
48.0,161.0,5.5
48.0,161.0,6.5
48.0,161.0,5.5
48.0,161.0,5.5
48.0,161.0,4.5
48.0,161.0,6.5
48.0,161.0,5.5
48.0,161.0,6.0
48.0,161.0,6.0
48.0,161.0,6.5
48.0,161.0,5.5
48.0,161.0,6.0
48.0,161.0,7.0
48.0,161.0,6.0
48.0,161.0,7.0
48.0,161.0,5.0
48.0,161.0,5.0
48.0,161.0,5.5
48.0,161.0,5.0
48.0,161.0,7.0
48.0,161.0,4.5
48.0,161.0,6.0
48.0,161.0,7.0
48.0,161.0,7.0
48.0,161.0,7.0
48.0,161.0,7.5
48.0,161.0,7.0
48.0,161.0,6.5
48.0,161.0,5.5
48.0,161.0,6.5
48.0,161.0,6.0
48.0,161.0,6.0
48.0,161.0,6.0
48.0,161.0,5.5
48.0,161.0,4.5
48.0,161.0,7.5
48.0,161.0,4.5
48.0,161.0,4.5
48.0,161.0,5.5
48.0,161.0,6.5
48.0,161.0,6.0
48.0,161.0,6.0
48.0,161.0,5.0
48.0,161.0,7.0
48.0,161.0,6.0
48.0,161.0,5.5
48.0,161.0,6.0
48.0,161.0,7.5
48.0,161.0,5.5
48.0,161.0,6.0
48.0,161.0,5.5
48.0,161.0,4.5
48.0,161.0,4.5
48.0,161.0,5.5
48.0,161.0,6.0
48.0,161.0,6.5
48.0,161.0,4.0
48.0,161.0,6.0
48.0,161.0,6.5
48.0,161.0,7.5
48.0,161.0,7.0
48.0,161.0,6.0
48.0,161.0,4.5
48.0,161.0,5.5
48.0,161.0,5.5
48.0,161.0,6.0
48.0,161.0,6.0
48.0,161.0,6.0
48.0,161.0,5.5
48.0,161.0,6.5
48.0,161.0,6.5
48.0,161.0,6.5
48.0,161.0,4.5
